"created_date","n","text","direction"
2017-02-09,8,"Congratulations to our new Attorney General @SenatorSessions! https://t.co/e0buP1K83z ||| Sen.Richard Blumenthal who never fought in Vietnam when he said for years he had (major lie)now misrepresents what Judge Gorsuch told him? ||| Chris Cuomo in his interview with Sen. Blumenthal never asked him about his long-term lie about his brave  || service ||  in Vietnam. FAKE NEWS! ||| Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so.... ||| ...long he doesn't know how to win anymore just look at the mess our country is in - bogged down in conflict all over the place. Our hero.. ||| ..Ryan died on a winning mission ( according to General Mattis) not a  || failure. ||  Time for the U.S. to get smart and start winning again! ||| Join us live in the Oval Office for the swearing in of our new Attorney General @SenatorSessions!LIVE:… https://t.co/QeW6vjog4A ||| SEE YOU IN COURT THE SECURITY OF OUR NATION IS AT STAKE!","1"
2017-02-10,3,"LAWFARE:  || Remarkably in the entire opinion the panel did not bother even to cite this (the) statute. ||  A disgraceful decision! ||| The failing @nytimes does major FAKE NEWS China story saying  || Mr.Xi has not spoken to Mr. Trump since Nov.14. ||  We spoke at length yesterday! ||| Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today. https://t.co/4JFhyYdeHO","1"
2017-02-13,3,"Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP ||| Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri ||| Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada🇨🇦and th… https://t.co/wAoCOaYeZ6","1"
2017-02-14,6,"Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK ||| Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect… https://t.co/FNewjbHuw4 ||| The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc? ||| Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:… https://t.co/nuLTs513Ot ||| 'Remarks by President Trump at Signing of H.J. Resolution 41'https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br ||| Obamacare continues to fail. Humana to pull out in 2018. Will repeal replace &amp; save healthcare for ALL Americans. https://t.co/glWEQ0lNR4","1"
2017-02-15,11,"The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great! ||| This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign. ||| Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia ||| Thank you to Eli Lake of The Bloomberg View -  || The NSA &amp; FBI...should not interfere in our politics...and is ||  Very serious situation for USA ||| Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia? ||| The real scandal here is that classified information is illegally given out by  || intelligence ||  like candy. Very un-American! ||| Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF ||| Welcome to the United States @IsraeliPM Benjamin &amp; Sara!#ICYMI🇺🇸🇮🇱Joint Press Conference: https://t.co/GN6ALWUusN https://t.co/bH60nBL5FP ||| Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport!Tickets:… https://t.co/OigfXFECPp ||| Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace https://t.co/dmHL7xIEQv ||| Venezuela should allow Leopoldo Lopez a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) o… https://t.co/HhgE51dtSN","1"
2017-02-16,6,"Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout! ||| Leaking and even illegal classified leaking has been a big problem in Washington for years. Failing @nytimes (and others) must apologize! ||| The spotlight has finally been put on the low-life leakers! They will be caught! ||| FAKE NEWS media which makes up stories and  || sources ||  is far more effective than the discredited Democrats - but they are fading fast! ||| The Democrats had to come up with a story as to why they lost the election and so badly (306) so they made up a story - RUSSIA. Fake news! ||| 'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh","1"
2017-02-17,8,"Despite the long delays by the Democrats in finally approving Dr. Tom Price the repeal and replacement of ObamaCare is moving fast! ||| Going to Charleston South Carolina in order to spend time with Boeing and talk jobs! Look forward to it. ||| Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy! ||| General Keith Kellogg who I have known for a long time is very much in play for NSA - as are three others. ||| Join me at 11:00am:Watch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM ||| The FAKE NEWS media (failing @nytimes @CNN @NBCNews and many more)    is not my enemy it is the enemy of the American people. SICK! ||| The FAKE NEWS media (failing @nytimes @NBCNews @ABC @CBS @CNN) is not my enemy it is the enemy of the American People! |||  || One of the most effective press conferences I've ever seen! ||  says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest","1"
2017-02-20,4,"Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT! ||| HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN! ||| Meeting with Generals at Mar-a-Lago in Florida. Very interesting! ||| Just named General H.R. McMaster National Security Advisor.","1"
2017-02-21,3,"Congratulations to our new National Security Advisor General H.R. McMaster. Video: https://t.co/BKn9r225Kk https://t.co/VBXcJ1b6Pv ||| 'Americans overwhelmingly oppose sanctuary cities' https://t.co/s5QvsJWA6u ||| The so-called angry crowds in home districts of some Republicans are actually in numerous cases planned out by liberal activists. Sad!","1"
2017-02-22,2,"One thing I will say about Rep. Keith Ellison in his fight to lead the DNC is that he was the one who predicted early that I would win! ||| Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!","1"
2017-02-23,1,"'S&amp;P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU","1"
2017-02-24,6,"Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help! ||| Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it! ||| The FBI is totally unable to stop the national security  || leakers ||  that have permeated our government for a long time. They can't even...... ||| find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW ||| Going to CPAC! ||| Trump vows to fight 'epidemic' of human trafficking https://t.co/oDLZ2NdrtA","1"
2017-02-27,2,"Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… https://t.co/60jigi6ffS ||| GOP now viewed more favorably than Dems in Trump era (per NBC/WSJ poll) via @HotlineJosh:https://t.co/Soebxtg2Zd","1"
2017-03-01,3,"Join me live at 9:00 P.M. #JointAddress https://t.co/J882zbyVkJ https://t.co/gTtK3vJmkU ||| #JointSession #MAGA🇺🇸https://t.co/RDO6Jt2pip ||| THANK YOU!","1"
2017-03-10,1,"Weekly Address - 11:00 A.M. at the @WhiteHouse! #MAGA🇺🇸➡️https://t.co/YSaPJnSX2i https://t.co/Gb8iTGzb6j","1"
2017-03-13,5,"It is amazing how rude much of the media is to my very hard working representatives. Be nice you will do much better! ||| ObamaCare is imploding. It is a disaster and 2017 will be the worst year yet by far! Republicans will come together and save the day. ||| Healthcare listening session w/ @VP &amp; @SecPriceMD. Watch: https://t.co/5ayQ4dr8Ip #ReadTheBill:… https://t.co/1cQI0ZBUv8 ||| Proud to welcome our great Cabinet this afternoon for our first meeting. Unfortunately 4 seats were empty because S… https://t.co/bMYph832hF ||| Meeting w/ Washington D.C. @MayorBowser and Metro GM Paul Wiedefeld about incoming winter storm preparations here… https://t.co/mg0A4Hq3bD","1"
2017-03-15,7,"Does anybody really believe that a reporter who nobody ever heard of  || went to his mailbox ||  and found my tax returns? @NBCNews  FAKE NEWS! ||| Can you imagine what the outcry would be if @SnoopDogg failing career and all had aimed and fired the gun at President Obama? Jail time! ||| Will be going to Detroit Michigan (love) today for a big meeting on bringing back car production to State &amp; U.S. Already happening! ||| Looking forward to a big rally in Nashville Tennessee tonight. Big crowd of great people expected. Will be fun! ||| CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut! ||| I will be interviewed by @TuckerCarlson tonight at 9:00 P.M. on @FoxNews. Enjoy! ||| Thank you Andrew Jackson! #POTUS7 #USA🇺🇸 https://t.co/GToWsWXiNv","1"
2017-03-16,6,"In Nashville Tennessee! Lets MAKE AMERICA GREAT AGAIN! https://t.co/m5UR4vv6UH ||| Thank you Nashville Tennessee! https://t.co/6snvQ0DzXN ||| A budget that puts #AmericaFirst must make safety its no. 1 priority—without safety there can be no prosperity: https://t.co/9lxx1iQo7m ||| An honor to welcome the Taoiseach of Ireland @EndaKennyTD to the @WhiteHouse today with @VP Pence. 🇺🇸🇮🇪 https://t.co/J3iTl2iSiQ ||| Great progress on healthcare. Improvements being made - Republicans coming together! ||| My representatives had a great meeting w/ the Hispanic Chamber of Commerce at the WH today. Look forward to tremendous growth &amp; future mtgs!","1"
2017-03-17,4,"Happy Lá Fheile Phadraig to all of my great Irish friends! ||| North Korea is behaving very badly. They have been  || playing ||  the United States for years. China has done little to help! |||  || The President Changed. So Has Small Businesses' Confidence || https://t.co/daTGjPmYeJ ||| Great meeting with the @RepublicanStudy Committee this morning at the @WhiteHouse! https://t.co/8Y2UoHoYaY","1"
2017-03-23,5,"Spoke to U.K. Prime Minister Theresa May today to offer condolences on the terrorist attack in London. She is strong and doing very well. ||| Just watched the totally biased and fake news reports of the so-called Russia story on NBC and ABC. Such dishonesty! ||| A great American Kurt Cochran was killed in the London terror attack. My prayers and condolences are with his family and friends. ||| We are taking action to #RepealANDReplace #Obamacare! Contact your Rep &amp; tell them you support #AHCA. #PassTheBill… https://t.co/5lsrDJXfzb ||| It was an honor to welcome so many truckers and trucking industry leaders to the @WhiteHouse today! https://t.co/M1veooVBNE","1"
2017-03-28,10,"Why isn't the House Intelligence Committee looking into the Bill &amp; Hillary deal that allowed big Uranium to go to Russia Russian speech.... ||| ...money to Bill the Hillary Russian  || reset ||  praise of Russia by Hillary or Podesta Russian Company. Trump Russia story is a hoax. #MAGA! ||| The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win! ||| The Democrats will make a deal with me on healthcare as soon as ObamaCare folds - not long. Do not worry we are in very  good shape! ||| Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to U.S.  JOBS! JOBS! JOBS! ||| Watch @foxandfriends now on Podesta and Russia! ||| The failing @NYTimes would do much better if they were honest! https://t.co/ATy8R3knS2 ||| It was an honor to welcome @GLFOP to the @WhiteHouse today with @VP Pence &amp; Attorney General Sessions. THANK YOU fo… https://t.co/VHzTB4c69h ||| A NEW ERA IN AMERICAN ENERGY! #MadeInTheUSA🇺🇸Watch here: https://t.co/EG02Fdlkba https://t.co/XT12jqoIqj ||| Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of  Uranium?","1"
2017-03-29,4,"Remember when the failing @nytimes apologized to its subscribers right after the election because their coverage was so wrong. Now worse! ||| If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media! ||| Today's EO established a commission on combating drug addiction and the opioid crisis. Watch listening session➡️… https://t.co/ooF2ediqSt ||| .@FLOTUS Melania and I were honored to stop by the Women's Empowerment  Panel this afternoon at the @WhiteHouse.… https://t.co/phLPw8lgTu","1"
2017-03-30,9,"Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.#ThankAVeteran… https://t.co/deOHapcV4J ||| The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team &amp; fast. We must fight them &amp; Dems in 2018! ||| The failing @nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws? https://t.co/QIqLgvYLLi ||| Great op-ed from @RepKenBuck. Looks like some in the Freedom Caucus are helping me end #Obamacare. https://t.co/Y2vTnIBTBZ ||| If @RepMarkMeadows @Jim_Jordan and Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform. ||| If @RepMarkMeadows @Jim_Jordan and @Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform. ||| Where are @RepMarkMeadows @Jim_Jordan and @Raul_Labrador?#RepealANDReplace #Obamacare ||| The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits... ||| ...and job losses. American companies must be prepared to look at other alternatives.","1"
2017-04-04,3,".@WhiteHouse #CEOTownHall➡️https://t.co/ADSKuUXf1b https://t.co/XHfQ6zmF2H ||| Thank you Sean McGarvey &amp; the entire Governing Board of Presidents for honoring me w/an invite to speak. #NABTU2017… https://t.co/dJlZvlq6Tj ||| Great to talk jobs with #NABTU2017. Tremendous spirit &amp; optimism - we will deliver! https://t.co/6lRuQZZHrc","1"
2017-04-06,2,"JOBS JOBS JOBS!https://t.co/XGOQPHywrt https://t.co/B5Qbn6llzE ||| It was an honor to host our American heroes from the @WWP #SoldierRideDC at the @WhiteHouse today with @FLOTUS @VP… https://t.co/u5AI1pupVV","1"
2017-04-10,3,"Thank you @USNavy! #USA https://t.co/oD7L8vPgjq ||| Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for Americ… https://t.co/RM9lfTaePS ||| Happy Passover to everyone celebrating in the United States of America Israel and around the world. #ChagSameach","1"
2017-04-17,7,"The recent Kansas election (Congress) was a really big media event until the Republicans won. Now they play the same game with Georgia-BAD! |||  || The first 90 days of my presidency has exposed the total failure of the last eight years of foreign policy! ||  So true. @foxandfriends ||| A great book for your reading enjoyment:  || REASONS TO VOTE FOR DEMOCRATS ||  by Michael J. Knowles. ||| The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth! ||| The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals allow illegal immigration and raise taxes! ||| TRUMP APPROVAL HITS 50%https://t.co/vjZkGTyQb9 ||| See you tomorrow Wisconsin!'Trump spurs small-business optimism in Milwaukee area'https://t.co/JUxhO3oqjO","1"
2017-04-20,4,"A great honor to host the @SuperBowl Champion New England @Patriots at the White House today. Congratulations!… https://t.co/tQ5XEPaIxn ||| Failing @nytimes which has been calling me wrong for two years just got caught in a big lie concerning New England Patriots visit to W.H. ||| We're going to use American steel we're going to use American labor we are going to come first in all deals. ➡️… https://t.co/QYjWx9K4YY ||| A great honor to host PM Paolo Gentiloni of Italy at the White House this afternoon! #ICYMI- Joint Press Conference… https://t.co/lJAvEZJV1F","1"
2017-04-24,7,"The two fake news polls released yesterday ABC &amp; NBC while containing some very positive info were totally wrong in General E. Watch! ||| The Wall is a very important tool in stopping drugs from pouring into our country and poisoning our youth (and many others)! If ||| #CongratsPeggy! https://t.co/e1q36nKT8g ||| ....the wall is not built which it will be the drug situation will NEVER be fixed the way it should be!#BuildTheWall ||| Join me in congratulating @NASA's @AstroPeggy by using the hashtag #CongratsPeggy! Earlier today:… https://t.co/AUdJgxXiT4 ||| If our healthcare plan is approved you will see real healthcare and premiums will start tumbling down. ObamaCare is in a death spiral! ||| Today I signed the Holocaust Remembrance Proclamation: https://t.co/762SqgdLMV #ICYMI- My statement last night at… https://t.co/vrqqFDi8En","1"
2017-04-25,5,"Proud of @IvankaTrump for her leadership on these important issues. Looking forward to hearing her speak at the W20! https://t.co/e6Uajrm8zp ||| Canada has made business for our dairy farmers in Wisconsin and other border states very difficult. We will not stand for this. Watch! ||| Don't let the fake media tell you that I have changed my position on the WALL. It will get built and help stop drugs human trafficking etc. ||| Remarks at the United States Holocaust Memorial Museum's National Days of Remembrance. Full remarks:… https://t.co/BJbI6ZtGo7 ||| 'Presidential Executive Order on Promoting Agriculture and Rural Prosperity in America'Executive Order:… https://t.co/LVMjZ9Ax0U","1"
2017-04-27,12,"I received calls from the President of Mexico and the Prime Minister of Canada asking to renegotiate NAFTA rather than terminate. I agreed.. ||| ...subject to the fact that if we do not reach a fair deal for all we will then terminate NAFTA. Relationships are good-deal very possible! ||| The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO! ||| I want to help our miners while the Democrats are blocking their healthcare. ||| I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics! ||| What's more important? Rebuilding our military - or bailing out insurance companies? Ask the Democrats. ||| Democrats jeopardizing the safety of our troops to bail out their donors from insurance companies. It is time to put #AmericaFirst🇺🇸 ||| Democrats used to support border security — now they want illegals to pour through our borders. ||| As families prepare for summer vacations in our National Parks - Democrats threaten to close them and shut down the government. Terrible! ||| .@FLOTUS Melania and I were honored to welcome Argentina President @MauricioMacri and First Lady Juliana Awada to t… https://t.co/gR3EPznu1H ||| Presidential Memorandum for the @CommerceGov @SecretaryRoss re: Aluminum Imports and Threats to National Security:… https://t.co/GnKoVz9GTO ||| Today I signed an Executive Order on Improving Accountability and Whistleblower Protection at the @DeptVetAffairs:… https://t.co/UQ6VNCyhlj","1"
2017-05-02,4,"President Andrew Jackson who died 16 years before the Civil War started saw it coming and was angry. Would never have let it happen! ||| The reason for the plan negotiated between the Republicans and Democrats is that we need 60 votes in the Senate which are not there! We.... ||| either elect more Republican Senators in 2018 or change the rules now to 51%. Our country needs a good  || shutdown ||  in September to fix mess! ||| Congratulations to the winners of the Commander-in-Chief's Trophy the great Air Force Falcons! Watch:… https://t.co/HyxxFCfaUh","1"
2017-05-03,4,"FBI Director Comey was the best thing that ever happened to Hillary Clinton in that he gave her a free pass for many bad deeds! The phony... ||| ...Trump/Russia story was an excuse used by the Democrats as justification for losing the election. Perhaps Trump just ran a great campaign? ||| It was an honor to stop by a #SchoolChoice event hosted by @VP Pence and @usedgov Secretary @BetsyDeVosED at the… https://t.co/B8VxVsYNHA ||| An honor to host President Mahmoud Abbas at the WH today. Hopefully something terrific could come out it between th… https://t.co/eyHLFZbKhn","1"
